concept_name,source_concept_id,source_vocabulary_id,source_domain_id,source_concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason,target_concept_id,relationship_id,reverese_relationship_id,relationship_valid_start_date,relationship_end_date,invalid_reason_cr
UNKNOWN,2000001401,mimiciv_per_ethnicity,Race,Race,,UNKNOWN,1970-01-01,2099-12-31,,0,Maps to,Mapped from,1970-01-01,2099-12-31,
OTHER,2000001402,mimiciv_per_ethnicity,Race,Race,,OTHER,1970-01-01,2099-12-31,,0,Maps to,Mapped from,1970-01-01,2099-12-31,
ASIAN,2000001403,mimiciv_per_ethnicity,Race,Race,,ASIAN,1970-01-01,2099-12-31,,8515,Maps to,Mapped from,1970-01-01,2099-12-31,
WHITE,2000001404,mimiciv_per_ethnicity,Race,Race,,WHITE,1970-01-01,2099-12-31,,8527,Maps to,Mapped from,1970-01-01,2099-12-31,
UNABLE TO OBTAIN,2000001405,mimiciv_per_ethnicity,Race,Race,,UNABLE TO OBTAIN,1970-01-01,2099-12-31,,0,Maps to,Mapped from,1970-01-01,2099-12-31,
BLACK/AFRICAN AMERICAN,2000001406,mimiciv_per_ethnicity,Race,Race,,BLACK/AFRICAN AMERICAN,1970-01-01,2099-12-31,,8516,Maps to,Mapped from,1970-01-01,2099-12-31,
AMERICAN INDIAN/ALASKA NATIVE,2000001407,mimiciv_per_ethnicity,Race,Race,,AMERICAN INDIAN/ALASKA NATIVE,1970-01-01,2099-12-31,,8657,Maps to,Mapped from,1970-01-01,2099-12-31,
HISPANIC OR LATINO,2000001408,mimiciv_per_ethnicity,Race,Race,,HISPANIC OR LATINO,1970-01-01,2099-12-31,,0,Maps to,Mapped from,1970-01-01,2099-12-31,
NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,2000001409,mimiciv_per_ethnicity,Race,Race,,NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,1970-01-01,2099-12-31,,0,Maps to,Mapped from,1970-01-01,2099-12-31,
BLACK/CARIBBEAN ISLAND,2000001410,mimiciv_per_ethnicity,Race,Race,,BLACK/CARIBBEAN ISLAND,1970-01-01,2099-12-31,,0,Maps to,Mapped from,1970-01-01,2099-12-31,
MULTIPLE RACE/ETHNICITY,2000001411,mimiciv_per_ethnicity,Race,Race,,MULTIPLE RACE/ETHNICITY,1970-01-01,2099-12-31,,0,Maps to,Mapped from,1970-01-01,2099-12-31,
PORTUGUESE,2000001412,mimiciv_per_ethnicity,Race,Race,,PORTUGUESE,1970-01-01,2099-12-31,,0,Maps to,Mapped from,1970-01-01,2099-12-31,
BLACK/CAPE VERDEAN,2000001413,mimiciv_per_ethnicity,Race,Race,,BLACK/CAPE VERDEAN,1970-01-01,2099-12-31,,0,Maps to,Mapped from,1970-01-01,2099-12-31,
ASIAN - ASIAN INDIAN,2000001414,mimiciv_per_ethnicity,Race,Race,,ASIAN - ASIAN INDIAN,1970-01-01,2099-12-31,,0,Maps to,Mapped from,1970-01-01,2099-12-31,
ASIAN - CHINESE,2000001415,mimiciv_per_ethnicity,Race,Race,,ASIAN - CHINESE,1970-01-01,2099-12-31,,0,Maps to,Mapped from,1970-01-01,2099-12-31,
ASIAN - KOREAN,2000001416,mimiciv_per_ethnicity,Race,Race,,ASIAN - KOREAN,1970-01-01,2099-12-31,,0,Maps to,Mapped from,1970-01-01,2099-12-31,
BLACK/AFRICAN,2000001417,mimiciv_per_ethnicity,Race,Race,,BLACK/AFRICAN,1970-01-01,2099-12-31,,0,Maps to,Mapped from,1970-01-01,2099-12-31,
WHITE - BRAZILIAN,2000001418,mimiciv_per_ethnicity,Race,Race,,WHITE - BRAZILIAN,1970-01-01,2099-12-31,,0,Maps to,Mapped from,1970-01-01,2099-12-31,
SOUTH AMERICAN,2000001419,mimiciv_per_ethnicity,Race,Race,,SOUTH AMERICAN,1970-01-01,2099-12-31,,0,Maps to,Mapped from,1970-01-01,2099-12-31,
WHITE - OTHER EUROPEAN,2000001420,mimiciv_per_ethnicity,Race,Race,,WHITE - OTHER EUROPEAN,1970-01-01,2099-12-31,,0,Maps to,Mapped from,1970-01-01,2099-12-31,
ASIAN - SOUTH EAST ASIAN,2000001421,mimiciv_per_ethnicity,Race,Race,,ASIAN - SOUTH EAST ASIAN,1970-01-01,2099-12-31,,0,Maps to,Mapped from,1970-01-01,2099-12-31,
WHITE - RUSSIAN,2000001422,mimiciv_per_ethnicity,Race,Race,,WHITE - RUSSIAN,1970-01-01,2099-12-31,,0,Maps to,Mapped from,1970-01-01,2099-12-31,
PATIENT DECLINED TO ANSWER,2000001423,mimiciv_per_ethnicity,Race,Race,,PATIENT DECLINED TO ANSWER,1970-01-01,2099-12-31,,0,Maps to,Mapped from,1970-01-01,2099-12-31,
WHITE - EASTERN EUROPEAN,2000001424,mimiciv_per_ethnicity,Race,Race,,WHITE - EASTERN EUROPEAN,1970-01-01,2099-12-31,,0,Maps to,Mapped from,1970-01-01,2099-12-31,
HISPANIC/LATINO - COLUMBIAN,2000001425,mimiciv_per_ethnicity,Race,Race,,HISPANIC/LATINO - COLUMBIAN,1970-01-01,2099-12-31,,0,Maps to,Mapped from,1970-01-01,2099-12-31,
HISPANIC/LATINO - DOMINICAN,2000001426,mimiciv_per_ethnicity,Race,Race,,HISPANIC/LATINO - DOMINICAN,1970-01-01,2099-12-31,,0,Maps to,Mapped from,1970-01-01,2099-12-31,
HISPANIC/LATINO - CUBAN,2000001427,mimiciv_per_ethnicity,Race,Race,,HISPANIC/LATINO - CUBAN,1970-01-01,2099-12-31,,0,Maps to,Mapped from,1970-01-01,2099-12-31,
HISPANIC/LATINO - GUATEMALAN,2000001428,mimiciv_per_ethnicity,Race,Race,,HISPANIC/LATINO - GUATEMALAN,1970-01-01,2099-12-31,,0,Maps to,Mapped from,1970-01-01,2099-12-31,
HISPANIC/LATINO - PUERTO RICAN,2000001429,mimiciv_per_ethnicity,Race,Race,,HISPANIC/LATINO - PUERTO RICAN,1970-01-01,2099-12-31,,0,Maps to,Mapped from,1970-01-01,2099-12-31,
HISPANIC/LATINO - HONDURAN,2000001430,mimiciv_per_ethnicity,Race,Race,,HISPANIC/LATINO - HONDURAN,1970-01-01,2099-12-31,,0,Maps to,Mapped from,1970-01-01,2099-12-31,
HISPANIC/LATINO - MEXICAN,2000001431,mimiciv_per_ethnicity,Race,Race,,HISPANIC/LATINO - MEXICAN,1970-01-01,2099-12-31,,0,Maps to,Mapped from,1970-01-01,2099-12-31,
HISPANIC/LATINO - SALVADORAN,2000001432,mimiciv_per_ethnicity,Race,Race,,HISPANIC/LATINO - SALVADORAN,1970-01-01,2099-12-31,,0,Maps to,Mapped from,1970-01-01,2099-12-31,